id,name,description,skill,wealthMultiplier,
ac2b5b66-69c0-4a19-b4f2-1a58995c4aca,Apprenti à l’étranger,"L’éducation du personnage a été effectuée à l’étranger, dans une région différente de sa terre natale. Il y a appris une nouvelle langue ainsi que l’importance de s’ouvre aux autres cultures différentes de la sienne.",Linguistics,8,
d56c2b45-53d4-4721-a4b7-01ff8596ce37,Apprenti d’un maître,"Le personnage a tout appris d’un maître partageant un art ou une profession avec lui. Ce maître lui a enseigné les subtilités qui permettront au personnage d’être éventuellement reconnu comme un maître lui aussi. Cet apprentissage a été effectué dans l’ordre et la discipline, sous la direction du maître.",Discipline,12,
43010385-2a99-4183-b15a-2ced675601d0,Champs de bataille,"Le personnage est un enfant de la guerre, un fugitif d’un conflit ayant affecté les civils. Son enfance est maigre de moments heureux et aisés, ce a fait de lui une personne endurcie dotée d’une personnalité pragmatique.",Resistance,4,
c39b0236-f340-4de3-8f57-543ecf7e6186,Classique,"Peu peuvent se vanter d’avoir reçu une éducation traditionnelle comme celle du personnage. Il a suivi un parcours scolaire conforme et sans dérogation ayant mené à une instruction de haute qualité. Malgré son manque d’expériences personnelles, son grand savoir lui permet de se débrouiller même dans les situations les plus difficiles.",Knowledge,12,
a0683f82-fe73-44b2-906f-0765f9e79207,Dans la rue,"Élevé dans la rue, le personnage est peut-être issu d’une famille de sans-abris. Il peut également avoir été élevé par d’autres clochards, n’ayant jamais connu ses parents. Recruté par un cirque ambulant ou esquivant les situations malencontreuses par ses prouesses physiques, ses mouvements sont prompts et souples.",Acrobatics,4,
046f0c88-9b4c-4c54-9f90-42404b36f9f0,Entreprise familiale,"Depuis sa tendre enfance, le personnage participe à l’activité principale de sa famille. Peu instruit, il a cependant développé une bonne intuition lui permettant de mener à bien ses tâches. Par la division du travail et la coopération avec sa fratrie, il a appris à collaborer et à partager.",Insight,10,
36771b7a-0c9f-4afa-b228-a7de093e0aeb,Judicieux,"Peu importe le mode de vie dans lequel il a été élevé, le personnage prend des décisions sensées et éclairées au moment opportun. Il saisit les opportunités et on lui demande souvent conseil. Il sait mettre en exécution des plans complexes et trier les informations pertinentes.",Orientation,10,
5413e44a-7d33-482a-b6af-d59cd3fe1eff,Mentor vénérable,"Le personnage a été confié à un vieux sage, par exemple ses grands-parents ou aux moines d’un sanctuaire. Il aura développé un tempérament serein pendant son enfance. Son mentor lui aura également enseigné à prendre le temps d’observer son environnement et à porter attention aux détails afin de poser des conclusions rationnelles.",Perception,8,
20d28da1-e1dc-4c54-9fa1-dd800953a973,Rebelle,"Malgré les efforts de ses parents à tenter d’élever un enfant calme et discipliné, le personnage désirait voler de ses propres ailes et faire ses expériences. Il a pu se soustraire à la surveillance de ses parents en camouflant ses méfaits par le mensonge, dupant ses parents ou les adultes qui l’ont pris à effectuer un délit.",Deception,6,
ce5fe6f0-479a-4359-9b6a-ee7ff4b29045,Sous contrainte,"Le personnage a vécu sous une supervision étroite au sein d’une famille stricte. Il s’est conformé aux demandes de ses parents et a coopéré lorsqu’il le jugeait nécessaire. Il a appris à dissimuler ses erreurs et fautes de parcours, et mène une double-vie dont ses parents n’en savent rien.",Stealth,6,
